x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,label
0,0,0,51.83327675,-19.87890244,-0.026488753,88.83080482,-58.61503601,-0.037653717,114.3274403,-93.78633499,-0.048243052,139.6033001,-117.5688744,-0.058865512,56.6247654,-135.1298332,-0.012955074,62.12893486,-187.6155853,-0.031572761,61.53731346,-219.031992,-0.049418709,59.41592216,-245.7453632,-0.062472972,24.95238304,-140.8542824,-0.016283533,31.46834373,-199.9475956,-0.031176806,34.79079247,-236.0799694,-0.046549639,36.56867027,-264.6175289,-0.058097212,-5.664415359,-134.9162006,-0.024173957,-4.378948212,-189.8879385,-0.03883729,-0.183057785,-221.7722511,-0.049364889,4.329862595,-248.0599451,-0.057045872,-36.52619362,-119.8158932,-0.035424995,-38.10246468,-164.0319729,-0.049217267,-35.41354179,-191.4511585,-0.053776732,-31.10136032,-217.1093273,-0.056426591,HELLO
0,0,0,50.31051636,-16.38067245,-0.027651121,87.10798264,-49.93097305,-0.038935573,113.1049347,-82.35949516,-0.049216305,141.0915184,-100.9544563,-0.059442581,57.59679794,-123.2948112,-0.009104543,64.0561676,-171.2057018,-0.025101166,64.91519928,-200.1332474,-0.041878098,64.82473373,-224.7656822,-0.054396984,28.86811256,-129.2794132,-0.010612037,36.16106033,-183.9763212,-0.023567029,40.04888535,-217.5116444,-0.038652306,43.03218842,-244.030509,-0.050022007,0.844888687,-125.2178192,-0.016857126,7.35285759,-176.2753773,-0.030530174,13.68031502,-205.8215046,-0.041007807,20.3756237,-230.6921339,-0.048408238,-28.38117599,-113.232193,-0.026492597,-24.46267128,-154.2731667,-0.039359671,-18.65419388,-178.786068,-0.043463481,-11.36514664,-201.8914032,-0.045677305,HELLO
0,0,0,48.32029343,-14.44670677,-0.02058754,85.02614975,-46.21499062,-0.028785701,110.3656578,-74.73635674,-0.036861482,134.0624046,-91.59665108,-0.045321914,63.42317581,-115.0158548,-0.009707751,71.41717911,-161.2566376,-0.025247128,72.61394501,-189.8238516,-0.040682557,72.70786285,-214.136095,-0.052293333,35.80831528,-122.7654648,-0.014097873,44.12229538,-175.7485199,-0.026474409,48.96497726,-207.5113106,-0.040287419,52.57652283,-232.4957085,-0.050998281,8.365058899,-120.5087757,-0.021983105,14.46807861,-170.0302076,-0.03399749,21.38479233,-197.9756355,-0.043086833,28.16808701,-220.7514811,-0.050208903,-20.7165432,-110.287199,-0.032576232,-17.5821209,-149.3192053,-0.043749238,-11.43585205,-172.7413273,-0.047020568,-4.045791626,-194.1492748,-0.049073512,HELLO
0,0,0,51.10019684,-14.87194061,-0.023772921,90.89607239,-45.83991051,-0.033813386,120.9409714,-72.83226013,-0.043762247,148.2966805,-86.16256714,-0.054358828,62.30865479,-123.3572388,-0.009469369,69.32319641,-172.0044136,-0.025213718,70.37063599,-200.5234909,-0.041304211,70.5222702,-225.2432156,-0.053634509,33.20894241,-130.7768726,-0.013771925,40.76648712,-186.0470152,-0.027229601,44.6008873,-219.7075081,-0.04281156,47.39528656,-246.2381744,-0.054678812,4.716453552,-127.4155998,-0.022195897,10.92035294,-179.3654251,-0.036095782,17.7784729,-209.0465355,-0.047922227,24.6383667,-234.282732,-0.056504834,-24.70550537,-115.5824661,-0.033639851,-20.2735424,-158.3793354,-0.047164316,-14.1667366,-183.7967777,-0.052454985,-6.260633469,-207.9375458,-0.055754337,HELLO
0,0,0,52.83212662,-11.8174839,-0.03157217,96.41719818,-37.76404381,-0.048543095,132.227211,-60.61331749,-0.064211673,163.7418365,-69.81800079,-0.080329857,72.25826263,-115.9561014,-0.026348093,88.859272,-165.9761238,-0.048086236,95.14846802,-196.7992544,-0.066913418,99.69100952,-223.7197495,-0.080778494,42.50930786,-126.9928551,-0.028998337,58.47681046,-184.6158028,-0.047598726,67.28265762,-220.2305174,-0.064925051,74.09467697,-248.1063795,-0.077753245,11.54425621,-126.5776777,-0.035672228,21.93984032,-180.8876896,-0.053715042,31.50571823,-211.2157631,-0.06668727,40.60777664,-235.7385063,-0.075718492,-21.62970543,-117.0780087,-0.045705236,-17.49185562,-159.9731827,-0.061603221,-11.7830658,-185.0080919,-0.067049547,-4.667224884,-207.4821281,-0.070129342,HELLO
0,0,0,52.65069008,-16.0723114,-0.033239496,94.80770111,-45.26650429,-0.051597969,127.5049591,-71.8692112,-0.06866403,158.6825371,-84.27961349,-0.08587663,64.8233223,-123.3991671,-0.025253619,77.14221954,-174.2216206,-0.047523913,80.82914352,-205.7064486,-0.067076207,83.28802109,-232.8625774,-0.081520968,34.11539078,-130.9822226,-0.02765244,45.54355621,-188.5663319,-0.046702844,52.06558228,-224.1930342,-0.064702273,57.39274979,-252.4772787,-0.078073845,2.771072388,-127.2403479,-0.034441941,9.235191345,-181.1001492,-0.052790863,16.6360569,-211.9205332,-0.066055746,24.79158401,-236.9396353,-0.075461947,-30.58844566,-114.7013998,-0.044863232,-31.17172718,-155.4450417,-0.061064028,-26.94545269,-180.7149982,-0.067323522,-20.0141716,-203.8105488,-0.071148121,HELLO
0,0,0,52.32169151,-14.9971962,-0.035750119,95.26096344,-43.73748779,-0.054313024,126.656456,-71.80109024,-0.071065032,157.5754356,-84.82761383,-0.087442593,64.35657501,-122.7274561,-0.023824988,77.97681808,-173.0726051,-0.044410886,82.09140778,-203.9911795,-0.063248599,84.9596405,-230.4989004,-0.077442618,33.19345474,-130.7473898,-0.024281619,43.25247765,-188.5586071,-0.042084103,48.38867188,-224.1407776,-0.060161421,52.39575386,-251.9188786,-0.073697524,2.155046463,-127.4640656,-0.029352486,8.276720047,-180.7160568,-0.04673255,14.26609993,-211.4016724,-0.060360709,20.69526672,-235.8907127,-0.070093887,-30.59265137,-115.1547003,-0.038292208,-32.13697433,-154.615202,-0.053685953,-29.73417759,-179.8968601,-0.060218135,-25.21049976,-203.0973816,-0.064252482,HELLO
0,0,0,-49.09355164,-20.17936707,-0.029890649,-87.15675354,-63.61298561,-0.043440787,-107.0864487,-101.6019344,-0.054736594,-131.2446213,-125.1601982,-0.065677529,-46.88674927,-132.8006458,-0.01959648,-53.5086441,-184.4456863,-0.039045261,-56.31950378,-215.2471161,-0.057578204,-57.91690826,-242.9272842,-0.072328849,-15.53943634,-136.8501091,-0.023254668,-15.41793823,-195.1857948,-0.03646029,-13.85818481,-229.4279194,-0.049821531,-12.61657715,-257.7472401,-0.061239975,13.31768036,-128.5159779,-0.032084258,13.08166504,-183.1860924,-0.047119195,12.39406586,-213.9309025,-0.056304609,10.54893494,-241.1708736,-0.064421957,42.50320435,-110.9802818,-0.044572091,45.59196472,-151.9198322,-0.059517616,44.69589233,-177.212019,-0.064221239,41.82994843,-201.1441469,-0.068104347,HELLO
0,0,0,-48.39241028,-27.03852654,-0.031919738,-83.19335938,-74.43411827,-0.045395849,-100.6652069,-114.6823883,-0.056203989,-120.9304047,-142.2089195,-0.065978111,-31.37779236,-139.8370171,-0.01572668,-32.6084137,-191.6896534,-0.03357513,-31.32968903,-222.8214455,-0.051842631,-28.71768951,-250.5905342,-0.066430905,1.624526978,-141.1205292,-0.017926456,9.124641418,-199.729929,-0.028021911,15.36716461,-234.2660093,-0.039932688,21.00105286,-262.7131462,-0.050615312,30.45028687,-130.1420403,-0.025956554,37.39112854,-184.5217037,-0.03797316,40.46127319,-215.6940651,-0.045507246,42.28656769,-243.2537985,-0.052878471,58.18328857,-109.4939804,-0.038148282,67.83683777,-148.7352562,-0.049470657,71.90719604,-173.1424999,-0.051801236,74.25186157,-196.3197041,-0.054364146,HELLO
0,0,0,-48.78017426,-22.22333908,-0.024115543,-84.03312683,-63.83377075,-0.034276014,-104.1390228,-99.45396423,-0.043932629,-126.0824585,-122.7000618,-0.052673166,-45.11909485,-131.6552353,-0.003213838,-44.69619751,-181.5965652,-0.017925104,-41.42616272,-210.2360344,-0.034820986,-36.93881989,-236.0904408,-0.048228906,-18.1791687,-134.80937,-0.007566678,-18.75793457,-189.189949,-0.016372334,-17.14202881,-221.3252163,-0.027908247,-14.74720001,-248.1243038,-0.037872353,7.499809265,-127.8714466,-0.017384845,6.234817505,-178.4451056,-0.026662405,5.945587158,-207.3590755,-0.031947391,6.163215637,-232.8268433,-0.037493942,35.27099609,-112.3363781,-0.031165359,35.44822693,-151.7914581,-0.039710314,34.20444489,-175.6291866,-0.04059544,32.45376587,-197.6901054,-0.041830936,HELLO
